strategy,underlying,vehicle,fast_period,fast_mult,mid_period,mid_mult,slow_period,slow_mult,exit_mode,trail_target,time_stop_bars,adx_min,full_trades,full_wr_pct,full_pf,full_ret_pct,full_sharpe,full_max_dd,is_pf,is_ret_pct,oos_trades,oos_wr_pct,oos_pf,oos_ret_pct,oos_sharpe,oos_max_dd,vol_surge_mult,min_body_ratio,opening_lockout_min,tranche_a_r,stagnation_bars
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,30,none,511,36.6,1.08,19.47,0.46,11.69,1.1,14.23,149,40.3,1.06,5.24,0.27,12.47,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,mid,30,none,511,32.1,1.09,11.06,0.44,7.5,1.12,9.41,149,35.6,1.04,1.65,0.15,7.38,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,48,none,494,35.4,1.07,16.26,0.39,13.41,1.13,17.93,143,39.9,0.98,-1.67,-0.09,15.48,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,mid,48,none,494,30.8,1.04,5.16,0.21,10.39,1.13,10.38,143,35.7,0.88,-5.22,-0.55,11.29,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,none,15,459,35.3,1.11,22.71,0.58,12.48,1.18,22.96,135,40.7,1.0,-0.25,-0.01,14.92,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,mid,none,15,459,30.9,1.07,7.76,0.34,9.86,1.18,12.88,135,36.3,0.88,-5.12,-0.57,11.05,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,18,15,535,40.2,0.96,-8.54,-0.23,18.91,0.99,-1.61,152,42.8,0.92,-6.92,-0.42,13.66,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,mid,18,15,535,35.5,0.95,-5.85,-0.29,14.65,0.99,-0.58,152,36.8,0.88,-5.26,-0.63,7.12,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,30,15,487,37.2,1.12,27.13,0.66,10.04,1.15,20.13,142,41.5,1.08,7.0,0.36,11.37,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,mid,30,15,487,32.6,1.14,15.86,0.65,6.68,1.18,13.19,142,35.9,1.06,2.67,0.25,6.74,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,48,15,472,35.6,1.08,17.74,0.45,13.75,1.15,20.61,138,39.9,0.97,-2.87,-0.16,16.19,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,mid,48,15,472,31.1,1.05,6.13,0.26,10.51,1.16,11.82,138,35.5,0.87,-5.69,-0.6,11.62,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,mid,none,20,347,34.9,1.01,1.94,0.06,18.85,1.1,10.86,104,40.4,0.87,-8.92,-0.59,20.63,,,,,
